Area_Name,Cases_Property_Stolen,Victims_of_Rape_Total,Auto_Theft_Stolen,Total_Murders,Total_Kidnapp
Andaman & Nicobar Islands,3662,168,166,137,76
Andhra Pradesh,642822,21392,113618,27481,17287
Arunachal Pradesh,16632,824,1658,703,682
Assam,245560,25524,22236,12761,20363
Bihar,411840,22526,45754,34675,28180
Chandigarh,39720,456,14842,202,510
Chhattisgarh,199712,19502,33310,10787,2423
Dadra & Nagar Haveli,2642,98,446,87,123
Daman & Diu,2056,28,510,53,22
Delhi,490694,10342,197330,5396,18217
Goa,19788,540,4404,412,200
Gujarat,534060,6678,158396,12757,12009
Haryana,303336,10018,118926,8793,6426
Himachal Pradesh,34000,2906,4750,1269,1437
Jammu & Kashmir,74906,4456,13088,7339,7533
Jharkhand,176868,15126,26826,15682,5966
Karnataka,494968,7834,134254,16891,7452
Kerala,221652,10616,37480,4208,2371
Lakshadweep,342,14,22,4,1
Madhya Pradesh,733524,58514,155380,23694,9582
Maharashtra,1376814,29010,262564,28693,12735
Manipur,11584,546,3388,2204,1618
Meghalaya,16724,1478,2348,1485,558
Mizoram,26892,1292,868,358,85
Nagaland,10814,352,4014,956,396
Odisha,224280,17720,33144,11762,7061
Puducherry,14236,114,7082,303,144
Punjab,151182,8614,35484,8172,6227
Rajasthan,469468,23908,151722,13176,24313
Sikkim,3314,298,142,151,61
Tamil Nadu,431864,11098,82306,16876,11514
Tripura,14480,3252,996,1867,1523
Uttar Pradesh,559970,30106,183116,58810,41952
Uttarakhand,41530,2202,10662,2751,2245
West Bengal,372226,32756,58658,16959,16709
Ladakh,0,0,0,0,0
Telangana,0,0,0,0,0
