STATE/UT,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Population
A & N ISLANDS,0,0,0,0,0,0,0,0,0,0,"199,812,341"
ANDHRA PRADESH,556,1110,238,9,39,136,7248,15160,1511,17412,"112,374,333"
ARUNACHAL PRADESH,1,0,0,0,1,0,0,0,0,0,"104,099,452"
ASSAM,57,57,96,14,33,25,341,3,1,318,"91,276,115"
BIHAR,286,284,127,29,77,309,4524,23425,466,3814,"84,580,777"
CHANDIGARH,0,2,0,0,0,0,0,6,0,4,"72,626,809"
CHHATTISGARH,117,661,43,1,13,17,743,923,24,2672,"72,147,030"
D & N HAVELI,0,0,2,0,0,0,0,0,0,5,"68,548,437"
DAMAN & DIU,0,0,0,0,0,0,0,0,0,5,"61,095,297"
DELHI,1,0,0,0,0,0,0,256,6,10,"60,439,692"
GOA,0,1,0,0,0,0,1,17,1,13,"41,974,218"
GUJARAT,204,325,301,85,214,115,3271,3971,55,5399,"33,406,061"
HARYANA,128,447,221,1,10,32,524,852,3,1148,"32,988,134"
HIMACHAL PRADESH,10,93,2,8,6,1,11,629,35,329,"31,205,576"
JAMMU & KASHMIR,3,7,0,0,0,1,7,0,11,12,"27,743,338"
JHARKHAND,65,129,44,16,2,22,912,2055,19,1507,"25,545,198"
KARNATAKA,302,329,70,17,19,20,1939,13773,482,7455,"25,351,462"
KERALA,36,782,23,5,9,21,2023,1092,4,2231,"16,787,941"
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,"12,541,302"
MADHYA PRADESH,1062,4107,510,9,96,446,9993,2855,11,30721,"10,086,292"
MAHARASHTRA,243,979,151,122,97,109,766,3210,378,5354,"6,864,602"
MANIPUR,0,0,0,0,0,0,0,0,0,0,"3,673,917"
MEGHALAYA,0,0,0,0,0,0,0,0,0,0,"2,966,889"
MIZORAM,0,0,1,0,1,0,0,0,0,0,"2,855,794"
NAGALAND,12,6,1,0,0,0,0,0,0,31,"1,978,502"
ODISHA,158,574,135,18,67,170,3281,9711,18,4274,"1,458,545"
PUDUCHERRY,4,0,1,0,0,0,5,12,231,7,"1,383,727"
PUNJAB,32,115,18,0,1,0,134,705,5,502,"1,247,953"
RAJASTHAN,630,1909,365,1,33,481,5984,7939,7,37653,"1,097,206"
SIKKIM,8,17,8,0,4,2,39,3,0,18,"1,055,450"
TAMIL NADU,352,259,62,5,15,89,2269,10845,500,4227,"610,577"
TRIPURA,4,15,6,0,1,1,64,8,0,84,"380,581"
UTTAR PRADESH,3577,3625,2225,55,214,715,4889,26378,501,34294,"343,709"
UTTARAKHAND,50,65,27,0,1,4,160,619,0,45,"243,247"
WEST BENGAL,2,19,1,0,0,1,26,111,1,148,"64,473"
Ladhak,,,,,,,,,,,
