Area_Name,Victims_Total
Andaman & Nicobar,274
Andhra Pradesh,54962
Arunachal Pradesh,1406
Assam,25522
Bihar,69350
Chandigarh,404
Chhattisgarh,21574
Dadra and Nagar Haveli and Daman and Diu,210
Delhi,10792
Goa,824
Gujarat,25514
Haryana,17586
Himachal Pradesh,2538
Jammu & Kashmir,14678
Jharkhand,31364
Karnataka,33782
Kerala,8416
Lakshadweep,8
Madhya Pradesh,47388
Maharashtra,57386
Manipur,4408
Meghalaya,2970
Mizoram,716
Nagaland,1912
Odisha,23524
Puducherry,606
Punjab,16344
Rajasthan,26352
Sikkim,302
Tamil Nadu,33752
Tripura,3734
Uttar Pradesh,117620
Uttarakhand,5502
West Bengal,33918
Telangana,0
