Area_Name,Year,Cases_Property_Stolen,Victims_of_Rape_Total,Auto_Theft_Stolen,Total_Murders
Andaman & Nicobar Islands,2001,286,6,8,13
Andaman & Nicobar Islands,2002,220,4,4,17
Andaman & Nicobar Islands,2003,256,4,10,21
Andaman & Nicobar Islands,2004,350,20,18,15
Andaman & Nicobar Islands,2005,344,8,12,15
Andaman & Nicobar Islands,2006,382,12,12,5
Andaman & Nicobar Islands,2007,446,6,16,15
Andaman & Nicobar Islands,2008,464,24,22,8
Andaman & Nicobar Islands,2009,476,36,20,18
Andaman & Nicobar Islands,2010,438,48,44,10
Andhra Pradesh,2001,50140,1742,6230,2783
Andhra Pradesh,2002,56680,2004,6900,2651
Andhra Pradesh,2003,66630,1892,9464,2914
Andhra Pradesh,2004,64926,2032,9482,2640
Andhra Pradesh,2005,65716,1870,10930,2928
Andhra Pradesh,2006,65630,2098,10940,2940
Andhra Pradesh,2007,65478,2140,12618,2850
Andhra Pradesh,2008,68484,2514,15696,2762
Andhra Pradesh,2009,66324,2376,16514,2475
Andhra Pradesh,2010,72814,2724,14844,2538
Arunachal Pradesh,2001,1716,66,72,83
Arunachal Pradesh,2002,1638,76,102,61
Arunachal Pradesh,2003,1552,62,100,77
Arunachal Pradesh,2004,1460,84,150,67
Arunachal Pradesh,2005,1898,70,238,81
Arunachal Pradesh,2006,1742,74,148,60
Arunachal Pradesh,2007,1792,96,232,68
Arunachal Pradesh,2008,1742,84,120,72
Arunachal Pradesh,2009,1430,118,218,59
Arunachal Pradesh,2010,1662,94,278,75
Assam,2001,19556,1634,876,1356
Assam,2002,20538,1940,1360,1253
Assam,2003,20596,2190,1512,1191
Assam,2004,21150,2342,1788,1214
Assam,2005,21178,2476,1914,1194
Assam,2006,25166,2488,2810,1207
Assam,2007,35618,2874,3602,1374
Assam,2008,27792,2876,3756,1426
Assam,2009,26578,3262,3418,1323
Assam,2010,27388,3442,1200,1223
Bihar,2001,37006,1776,2272,3643
Bihar,2002,38666,2080,2296,3831
Bihar,2003,38422,1970,2680,3772
Bihar,2004,43346,2780,4166,3948
Bihar,2005,40030,2294,4268,3471
Bihar,2006,40652,2464,4046,3249
Bihar,2007,38988,3110,4786,3081
Bihar,2008,42648,2604,5350,3139
Bihar,2009,46628,1858,7348,3179
Bihar,2010,45454,1590,8542,3362
Chandigarh,2001,3896,38,988,15
Chandigarh,2002,4110,36,1234,31
Chandigarh,2003,3156,36,1132,21
Chandigarh,2004,3550,38,1348,22
Chandigarh,2005,3592,66,1158,18
Chandigarh,2006,3296,38,1058,14
Chandigarh,2007,4402,44,1706,20
Chandigarh,2008,5058,40,2188,17
Chandigarh,2009,4550,58,2234,22
Chandigarh,2010,4110,62,1796,22
Chhattisgarh,2001,19788,1918,1884,1657
Chhattisgarh,2002,17374,1984,2252,844
Chhattisgarh,2003,17184,1796,2262,797
Chhattisgarh,2004,21096,1938,2632,927
Chhattisgarh,2005,20308,1980,3238,1050
Chhattisgarh,2006,19376,1990,4286,1098
Chhattisgarh,2007,19674,1964,3866,1097
Chhattisgarh,2008,22222,1956,4236,1169
Chhattisgarh,2009,21552,1952,4376,1083
Chhattisgarh,2010,21138,2024,4278,1065
Dadra & Nagar Haveli,2001,212,12,30,3
Dadra & Nagar Haveli,2002,264,8,74,11
Dadra & Nagar Haveli,2003,264,2,30,11
Dadra & Nagar Haveli,2004,224,14,48,11
Dadra & Nagar Haveli,2005,252,10,44,7
Dadra & Nagar Haveli,2006,304,12,30,9
Dadra & Nagar Haveli,2007,292,14,38,10
Dadra & Nagar Haveli,2008,276,12,38,9
Dadra & Nagar Haveli,2009,308,8,46,10
Dadra & Nagar Haveli,2010,246,6,68,6
Daman & Diu,2002,260,0,72,8
Daman & Diu,2003,214,10,54,6
Daman & Diu,2004,144,2,24,3
Daman & Diu,2005,200,4,54,5
Daman & Diu,2006,288,6,66,7
